,year,country,age,species_,month,dead,gender,specie,edad
901,1994,usa,12,Small shark,Sep,N,F,unspecified,12.0
902,1994,reunion,24,3 to 3.5 m [10' to 11.5'] bull shark,Jul,Y,M,bull,24.0
903,1994,south africa,22,4 m [13'] white shark,Jul,Y,M,white,22.0
904,1994,south africa,31,4 m [13'] white shark,Jul,N,M,white,31.0
905,1994,usa,15,"""small shark""",Jul,N,M,unspecified,15.0
906,1994,bahamas,30,1.8 m [6'] shark,Jun,N,M,unspecified,30.0
907,1994,usa, 28,1.2 m [4'] spinner shark,May,N,M,unspecified,28.0
908,1994,usa,22,>1.8 m [6'] shark,May,N,M,unspecified,22.0
909,1994,usa,23,1.2 m [4'] shark,Feb,N,M,unspecified,23.0
910,1994,south africa,15,3 m [10'] white shark,Feb,N,M,white,15.0
911,1994,south africa,33,"1.3 m [4'3""] shark",Jan,N,M,unspecified,33.0
912,1993,australia,27,Tiger shark caught 6 days later with divers remains in its gut,Nov,Y,M,tiger,27.0
913,1993,usa,26,4 m to 5 m [13' to 16.5'] white shark,Oct,N,M,white,26.0
914,1993,usa,26,3 m [10'] bull shark,Oct,N,F,bull,26.0
915,1993,usa,34,>6 m [20'] white shark,Oct,N,F,white,34.0
916,1993,south africa,36,3 m [10'] white shark,Sep,N,M,white,36.0
917,1993,spain,69,1.2 m [4'] shark,Sep,N,M,unspecified,69.0
918,1993,bahamas,51,1.8 m [6'] blacktip shark or Caribbean reef shark,Aug,N,M,unspecified,51.0
919,1993,usa,19,Bull shark,Aug,N,F,bull,19.0
920,1993,usa,39,5.5 m to 6 m [18' to 20']  white shark,Aug,N,M,white,39.0
921,1993,south africa,28,4 m [13'] white shark,Jul,N,M,white,28.0
922,1993,usa,12,"1.8 m to 2.4 m [6' to 8'] shark, tooth fragments recovered ",Jul,N,F,unspecified,12.0
923,1993,usa,22,Thought to involve a tiger shark,Jun,N,M,tiger,22.0
924,1993,australia,31,Remains recovered from 5.5 m [18'] white shark,Jun,Y,M,white,31.0
925,1993,australia,34,5 m [16.5'] white shark,Jun,Y,F,white,34.0
926,1993,usa,60's,6' shark,,N,F,unspecified,60.0
927,1993,usa,35,"Tiger shark, 3.7 m [12'], (tooth fragment recovered from wound)",Mar,N,M,tiger,35.0
928,1993,usa,55,White shark,Mar,N,M,white,55.0
929,1993,australia,69,"Bronze whaler shark, 1.5 m ",Feb,N,M,unspecified,69.0
930,1993,australia,21,1.5 m shark,Jan,N,M,unspecified,21.0
931,1993,usa,29,6 m [20'] white shark,Jan,N,M,white,29.0
932,1992,usa,10,"Tiger shark, 2.4 m [8']",Dec,N,M,tiger,10.0
933,1992,usa,30,"Tiger shark, 3 m to 4.9 m [10' to 16'] ",Dec,N,M,tiger,30.0
934,1992,usa,31,"Mako shark, 1.8 m [6']  ",Nov,N,M,unspecified,31.0
935,1992,usa,19,6' to 7' blacktip shark,Nov,N,M,unspecified,19.0
936,1992,usa,46,5 m to 6 m white shark,Nov,N,M,white,46.0
937,1992,usa,40,Unidentified shark,Nov,N,M,unspecified,40.0
938,1992,usa,18,"Tiger shark, 3 m to 3.7 m [10' to 12'] ",Nov,Y,M,tiger,18.0
939,1992,usa,40,2.5 m [8.25'] white shark,Oct,N,M,white,40.0
940,1992,usa,28,"Tiger shark, 4.3 m [14'] ",Oct,N,M,tiger,28.0
941,1992,australia,28,4.2 m white shark,Oct,Y,M,white,28.0
942,1992,usa,20,4 m to 5 m [13' to 16.5']  white shark ,Sep,N,M,white,20.0
943,1992,australia,17,4 m white shark,Aug,N,M,white,17.0
944,1992,usa,22,5.5 m to 6 m [18' to 20'] white shark,Aug,N,M,white,22.0
945,1992,usa,42,"""a small shark""",Jul,N,F,unspecified,42.0
946,1992,reunion,16,Bull shark or lemon shark,Jun,Y,M,lemon,16.0
947,1992,south africa,35,>2 m shark,Apr,N,M,unspecified,35.0
948,1992,usa,36,Tiger shark,Mar,N,F,tiger,36.0
949,1992,japan,41,"5 m [16.5'] white shark, identification by K. Nakaya",Mar,Y,M,white,41.0
950,1992,usa,21,Said to involve a 6 m to 7 m [20' to 23'] white shark,Mar,N,M,white,21.0
951,1992,australia,19,Questionable incident,Feb,,M,unspecified,19.0
952,1992,australia,19,"Bronze whaler shark, 2.3 m [7.5'] ",Jan,N,M,unspecified,19.0
953,1992,south africa,19,"Zambesi shark, 1.7 m [5.5'] ",Jan,N,M,unspecified,19.0
954,1992,south africa,36,Possibly a 1.5 m [5'] blacktip shark,Jan,N,M,unspecified,36.0
955,1991,usa,25,6 m [20'] white shark,Dec,N,M,white,25.0
956,1991,usa,41,"Tiger shark, 2.4 m 3.4 m [8' to 11']  ",Nov,Y,F,tiger,41.0
957,1991,usa,21,1.8 m [6'] shark,Oct,N,M,unspecified,21.0
958,1991,usa,32,5 m to 6 m [16.5' to 20'] white shark,Oct,N,M,white,32.0
959,1991,australia,19,4 m [13'] white shark,Sep,Y,M,white,19.0
960,1991,australia,36,"3 m [10'], 270- kg [595-lb] shark",Aug,N,M,unspecified,36.0
961,1991,usa,23,sand shark,Aug,N,M,unspecified,23.0
962,1991,usa,10,3' shark,Aug,N,F,unspecified,10.0
963,1991,italy,40,4 m [13'] white shark,Jul,N,F,white,40.0
964,1991,reunion,30,"Tiger shark, 3 to 4 m [10' to 13'] ",Jul,N,M,tiger,30.0
965,1991,usa,32,5 m [16.5'] white shark,Jul,N,M,white,32.0
966,1991,usa,31,2.7 m [9'] bull or lemon shark,Jun,N,M,lemon,31.0
967,1991,hong kong,65,"Tiger shark, >3 m [10']",Jun,Y,F,tiger,65.0
968,1991,usa,23,2.4 m [8'] shark,May,N,M,unspecified,23.0
969,1991,usa,22,1.2 m to 1.5 m [4' to 5'] shark,Apr,N,M,unspecified,22.0
970,1991,usa,38,5.5 m [18'] white shark,Feb,N,M,white,38.0
971,1991,south africa,20,5.5 m [18'] white shark,Feb,N,M,white,20.0
972,1990,usa,24,5' shark,Nov,N,M,unspecified,24.0
973,1990,usa,50,1.8 m [6'] shark ,Oct,N,M,unspecified,50.0
974,1990,usa,25,4' spinner shark,Oct,N,M,unspecified,25.0
