,year,type,country,age,species_,month,gender,dead
299,2011.0,Unprovoked,usa,19,"6' shark, possibly a blactip or spinner shark",Sep,M,N
300,2011.0,Unprovoked,usa,19,6' shark,Aug,M,N
301,2011.0,Invalid,australia,48,Shark involvement prior to death not confirmed,Aug,M,
302,2011.0,Unprovoked,south africa,49,"White shark, >6'",Aug,M,Y
303,2011.0,Unprovoked,usa,20s,Possibly a 5' to 6' sandtiger shark,Aug,F,N
304,2011.0,Unprovoked,russia,25,4 m shark,Aug,M,N
305,2011.0,Unprovoked,french polynesia,32,Grey reef shark ,Aug,M,N
306,2011.0,Unprovoked,seychelles,30,"Bull shark, 6'",Aug,M,Y
307,2011.0,Unprovoked,south africa,29,"White shark, 3m to 4m",Jul,M,N
308,2011.0,Unprovoked,south africa,22,"Bull shark, 3m female",Jun,M,N
309,2011.0,Unprovoked,usa,10,"Bull shark, 6'",Jun,F,N
310,2011.0,Unprovoked,usa,28,"Blacktip shark, 4'",Jun,M,N
311,2011.0,Unprovoked,usa,19,3' to 4' shark,Jun,M,N
312,2011.0,Unprovoked,south africa,28,Zambesi shark,May,M,Y
313,2011.0,Unprovoked,new caledonia,15," Tiger shark, 2.8m",May,M,Y
314,2011.0,Unprovoked,australia,17,"reef shark, 1.5m",Apr,M,N
315,2011.0,Unprovoked,usa,49,1' to 2' shark,Apr,M,N
316,2011.0,Unprovoked,new zealand,41,possibly a bronze whaler shark,Apr,M,N
317,2011.0,Unprovoked,australia,48,"Bull shark, 2.5m",Mar,M,N
318,2011.0,Unprovoked,australia,24,3 m to 4 m shark,Mar,F,N
319,2011.0,Provoked,australia,36,"Bull shark, 2m",Reported,M,N
320,2011.0,Unprovoked,new caledonia,21,1.5 m shark,Feb,M,N
321,2011.0,Unprovoked,australia,49,White shark x 2,Feb,M,Y
322,2011.0,Unprovoked,mexico,38,6' shark,Jan,F,N
323,2011.0,Unprovoked,bahamas,55,Caribbean reef shark,Jan,M,N
324,2011.0,Invalid,australia,7,Shark involvement not confirmed,Jan,F,
325,2010.0,Unprovoked,usa,16,6' shark,Dec,M,N
326,2010.0,Unprovoked,egypt,70,"Oceanic whitetip shark, 2.5m ",Dec,F,Y
327,2010.0,Unprovoked,egypt,54,Mako shark ,Dec,M,N
328,2010.0,Unprovoked,egypt,46,Mako shark,Dec,M,N
329,2010.0,Unprovoked,egypt,70,"Oceanic whitetip shark, 2.5m, female",Nov,F,N
330,2010.0,Unprovoked,egypt,48,"Oceanic whitetip shark, 2.5m, female",Nov,F,N
331,2010.0,Unprovoked,australia,20,White shark,Oct,F,N
332,2010.0,Unprovoked,usa,30,"Porbeagle shark, 8' ",Oct,M,N
333,2010.0,Unprovoked,usa,19,"White shark, 14' to 18' ",Oct,M,Y
334,2010.0,Unprovoked,australia,22,"Bull shark, 1.4m ",Oct,M,N
335,2010.0,Unprovoked,usa,29,White shark,Sep,M,N
336,2010.0,Unprovoked,australia,15,2m shark,Sep,M,N
337,2010.0,Unprovoked,australia,31,White shark,Aug,M,Y
338,2010.0,Unprovoked,usa,37,3' to 4' shark,Aug,F,N
339,2010.0,Unprovoked,usa,10,Possibly a small blacktip shark,Jul,M,N
